Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense,Divination,Muggle Studies,Ancient Runes,History,Transfiguration,Potions,Charms,Flying
367,Slytherin,Student367,Name367,2000-01-01,Right,56.45,44.64,16.83,85.73,34.01,31.35,61.57,61.01,77.85,100.00,66.31,47.80
368,Gryffindor,Student368,Name368,2000-01-01,Right,52.20,47.89,28.99,63.08,53.38,40.20,44.92,32.45,92.68,92.19,68.30,63.73
369,Hufflepuff,Student369,Name369,2000-01-01,Right,66.37,48.48,35.80,37.12,64.65,68.88,72.58,38.41,52.99,24.25,41.76,57.94
370,Ravenclaw,Student370,Name370,2000-01-01,Right,99.08,52.15,60.96,50.11,61.30,47.99,75.14,88.32,55.99,47.35,55.08,45.56
371,Slytherin,Student371,Name371,2000-01-01,Left,54.57,36.93,38.53,44.20,29.57,44.70,56.57,35.89,65.44,56.03,61.38,62.48
372,Gryffindor,Student372,Name372,2000-01-01,Left,50.24,37.40,53.07,85.36,42.86,5.34,50.27,44.46,99.19,35.68,71.68,52.10
373,Hufflepuff,Student373,Name373,2000-01-01,Right,44.11,57.98,66.38,52.47,53.65,45.39,47.06,74.04,49.05,34.89,24.75,45.16
374,Ravenclaw,Student374,Name374,2000-01-01,Right,53.70,62.87,52.05,51.09,78.13,54.53,45.62,79.91,48.10,48.59,61.75,46.51
375,Slytherin,Student375,Name375,2000-01-01,Left,49.75,57.64,52.82,45.26,31.73,54.68,77.04,56.08,72.69,92.00,32.07,62.18
376,Gryffindor,Student376,Name376,2000-01-01,Left,56.35,5.22,52.31,62.37,30.94,58.49,58.66,68.07,57.66,45.20,49.08,68.20
377,Hufflepuff,Student377,Name377,2000-01-01,Right,77.34,40.26,68.48,42.45,67.35,70.77,43.09,68.86,30.19,72.67,18.41,47.31
378,Ravenclaw,Student378,Name378,2000-01-01,Right,51.23,82.49,66.50,44.85,55.39,47.79,71.40,58.09,61.30,39.80,55.62,73.89
379,Slytherin,Student379,Name379,2000-01-01,Right,54.74,44.65,51.84,67.43,41.77,37.02,31.49,57.58,53.45,69.57,63.19,47.57
380,Gryffindor,Student380,Name380,2000-01-01,Right,34.77,42.34,72.83,79.72,45.63,68.88,36.02,36.91,62.16,50.77,73.03,82.52
381,Hufflepuff,Student381,Name381,2000-01-01,Left,68.50,37.32,76.63,39.25,59.17,57.72,46.85,59.68,40.31,36.81,47.75,31.18
382,Ravenclaw,Student382,Name382,2000-01-01,Right,77.28,79.85,19.46,38.47,70.55,61.99,55.07,75.76,79.43,61.53,53.14,46.11
383,Slytherin,Student383,Name383,2000-01-01,Left,55.90,38.71,26.97,56.91,43.11,25.54,78.76,65.38,24.48,37.92,32.21,57.35
384,Gryffindor,Student384,Name384,2000-01-01,Right,62.30,38.94,44.86,61.73,0.00,42.24,45.20,56.28,43.22,48.03,48.19,52.13
385,Hufflepuff,Student385,Name385,2000-01-01,Left,36.79,40.05,70.84,49.89,75.78,63.16,76.49,74.66,67.07,1.98,43.41,56.95
386,Ravenclaw,Student386,Name386,2000-01-01,Right,68.53,63.28,53.68,66.63,63.21,42.54,51.74,64.44,87.81,55.88,51.92,70.22
387,Slytherin,Student387,Name387,2000-01-01,Right,69.17,51.70,38.40,71.92,34.37,15.49,66.32,29.34,34.07,72.44,69.49,43.32
388,Gryffindor,Student388,Name388,2000-01-01,Right,53.29,24.85,53.67,41.55,37.65,72.95,42.56,67.03,65.91,77.04,69.61,35.12
389,Hufflepuff,Student389,Name389,2000-01-01,Right,66.95,52.69,100.00,58.37,34.80,39.42,41.55,48.57,25.21,38.11,55.23,26.55
390,Ravenclaw,Student390,Name390,2000-01-01,Right,85.20,68.06,38.95,55.20,24.86,65.95,67.69,77.44,85.03,72.05,70.76,17.33
391,Slytherin,Student391,Name391,2000-01-01,Right,77.01,52.69,35.26,60.00,71.61,33.76,34.36,46.16,73.89,93.82,70.49,23.20
392,Gryffindor,Student392,Name392,2000-01-01,Right,66.19,57.84,32.05,75.99,43.65,49.81,70.83,40.57,54.69,51.42,55.49,65.95
393,Hufflepuff,Student393,Name393,2000-01-01,Right,47.97,44.08,58.53,43.92,65.28,51.73,59.26,66.29,43.19,69.68,61.30,55.75
394,Ravenclaw,Student394,Name394,2000-01-01,Left,90.85,67.01,39.84,54.10,52.26,65.61,79.75,83.19,62.67,66.00,83.64,58.95
395,Slytherin,Student395,Name395,2000-01-01,Right,52.57,52.75,22.87,64.11,53.92,48.08,51.57,54.20,38.45,58.58,66.99,35.07
396,Gryffindor,Student396,Name396,2000-01-01,Right,39.42,65.56,49.83,48.24,5.43,41.55,50.61,33.22,78.57,75.23,74.76,56.85
397,Hufflepuff,Student397,Name397,2000-01-01,Right,45.55,33.36,59.37,52.35,59.89,89.40,30.41,32.78,31.88,69.59,41.56,27.22
398,Ravenclaw,Student398,Name398,2000-01-01,Right,66.44,66.08,36.21,57.15,51.09,57.21,67.30,44.70,69.87,60.02,76.03,25.60
399,Slytherin,Student399,Name399,2000-01-01,Right,44.29,28.53,30.14,56.90,32.12,55.81,21.32,37.98,44.80,79.13,62.84,36.54
